"Author";"Class";"Name";"ShortName";"Value"
"PAIVA-SILVA GO";"Pre-Outbreak";"Most Common Journal Area";"TopField";"BIOCHEMISTRY & MOLECULAR BIOLOGY"
"PAIVA-SILVA GO";"Pre-Outbreak";"Total Citations";"Citations";"1062"
"PAIVA-SILVA GO";"Pre-Outbreak";"Citations per Paper";"CitationRate";"46.17"
"PAIVA-SILVA GO";"Pre-Outbreak";"Number of Authors per Paper";"AvgAuthorNumber";"14.78"
"PAIVA-SILVA GO";"Pre-Outbreak";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"3.66666666666667"
"PAIVA-SILVA GO";"Pre-Outbreak";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"1.77777777777778"
"PAIVA-SILVA GO";"Pre-Outbreak";"Total Papers";"Papers";"9"
"PAIVA-SILVA GO";"Pre-Outbreak";"Papers with International Affiliations";"PapersINTL";"5"
"PAIVA-SILVA GO";"Pre-Outbreak";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0.56"
"PAIVA-SILVA GO";"Pre-Outbreak";"Academic Age - Years Since the First Paper Record";"Academic Age";"23"
"PAIVA-SILVA GO";"Pre-Outbreak";"Percentage of Zika-related papers";"PercZika";"0"
"PAIVA-SILVA GO";"Pre-Outbreak";"Number of highly-cited Zika papers";"HighlyCited";"0"
"PAIVA-SILVA GO";"Post-Outbreak";"Most Common Journal Area";"TopField";"PARASITOLOGY"
"PAIVA-SILVA GO";"Post-Outbreak";"Total Citations";"Citations";"108"
"PAIVA-SILVA GO";"Post-Outbreak";"Citations per Paper";"CitationRate";"18"
"PAIVA-SILVA GO";"Post-Outbreak";"Number of Authors per Paper";"AvgAuthorNumber";"7.83"
"PAIVA-SILVA GO";"Post-Outbreak";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"2.83333333333333"
"PAIVA-SILVA GO";"Post-Outbreak";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"0.5"
"PAIVA-SILVA GO";"Post-Outbreak";"Total Papers";"Papers";"6"
"PAIVA-SILVA GO";"Post-Outbreak";"Papers with International Affiliations";"PapersINTL";"3"
"PAIVA-SILVA GO";"Post-Outbreak";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0.5"
"PAIVA-SILVA GO";"Post-Outbreak";"Academic Age - Years Since the First Paper Record";"Academic Age";"4"
"PAIVA-SILVA GO";"Post-Outbreak";"Percentage of Zika-related papers";"PercZika";"0.5"
"PAIVA-SILVA GO";"Post-Outbreak";"Number of highly-cited Zika papers";"HighlyCited";"0"
"PAIVA-SILVA GO";"Zika";"Most Common Journal Area";"TopField";"INFECTIOUS DISEASES"
"PAIVA-SILVA GO";"Zika";"Frequency of MeSH Category - Vector & Transmission";"MeSHCat - Frequency of MeSH Category - Vector & Transmission";"3"
"PAIVA-SILVA GO";"Zika";"Frequency of MeSH Category - Epidemiology, Outbreaks & Surveillance";"MeSHCat - Frequency of MeSH Category - Epidemiology, Outbreaks & Surveillance";"0"
"PAIVA-SILVA GO";"Zika";"Frequency of MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"MeSHCat - Frequency of MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"0"
"PAIVA-SILVA GO";"Zika";"Frequency of MeSH Category - Virus Characterization";"MeSHCat - Frequency of MeSH Category - Virus Characterization";"1"
"PAIVA-SILVA GO";"Zika";"Frequency of MeSH Category - Related Diseases";"MeSHCat - Frequency of MeSH Category - Related Diseases";"2"
"PAIVA-SILVA GO";"Zika";"Frequency of MeSH Category - Treatments, Vaccines & Diagnostic Tests";"MeSHCat - Frequency of MeSH Category - Treatments, Vaccines & Diagnostic Tests";"0"
"PAIVA-SILVA GO";"Zika";"Frequency of MeSH Category - Clinical manifestations";"MeSHCat - Frequency of MeSH Category - Clinical manifestations";"0"
"PAIVA-SILVA GO";"Zika";"Citations from papers in MeSH Category - Vector & Transmission";"MeSHCatCites - Vector & Transmission";"60"
"PAIVA-SILVA GO";"Zika";"Citations from papers in MeSH Category - Epidemiology, Outbreaks & Surveillance";"MeSHCatCites - Epidemiology, Outbreaks & Surveillance";"0"
